id,categories,title,authors,published,abs
2608.09791v1,Battery-Simulation,Predictive Simulation of Interphases on Li Metal Surface,Xinyu Li; Jingxuan Ding; Daniel C. Hannah; Yumin Zhang; Qichao Hu; Kang Xu,2026-08-10T16:13:25Z,https://arxiv.org/abs/2608.09791v1
2608.09323v1,Battery-Simulation,Openable Force-Balanced Halbach Magnets: From Fibonacci Sphere Simulations to Icosahedral Realizations,Ingo Rehberg; Helmut Soltner; Peter Blümler,2026-08-10T09:04:47Z,https://arxiv.org/abs/2608.09323v1
2608.09065v1,Battery-Simulation,Self-induced crystalline fluctuation spin-glass state in Mn7C3 binary compounds,Zekun Yu; Chao Zhou; Kuo Bao; Xiaofeng Wang; Zhaoqing Wang; Jinming Zhu; Enxuan Li; Andong Yao; Yuhan Meng; Yufei Ge; Xingbin Zhao; Shuailing Ma; Pinwen Zhu; Qiang Tao; Tian Cui,2026-08-10T03:12:35Z,https://arxiv.org/abs/2608.09065v1
2608.08848v1,Battery-Simulation,A Dataset of Equilibrium State Configurations of Adsorption in Zeolites,Marko Petković; Rachna Ramesh; Vlado Menkovski; Sofía Calero,2026-08-09T18:20:27Z,https://arxiv.org/abs/2608.08848v1
2608.08842v1,Battery-Simulation,Light-Stabilized Metastable Electronic State in NiO with Enhanced Orbital Hybridization2,Thomas C. Rossi; Fabio G. Santomauro; Lars Mewes; Janina Löffler; Dominik Kinschel; Giacomo Rossi; Mario Gutiérrez; Oliviero Cannelli; Boris V. Sorokin; Jochen Rittmann; Jakob Kel; James Budarz; Anna Wach; Adam H. Clark; Emiliano Dal Molin; Maged F. Bekheet; Albert Gili; Sebastian Praetz; Daniel Grötzsch; Delphine Cabaret; Renske M. van der Veen; Majed Chergui,2026-08-09T18:06:06Z,https://arxiv.org/abs/2608.08842v1
2608.08767v1,Battery-Simulation,Distribution of Relaxation Times analysis of evolution of Oxygen Reduction Pathways for ionic conductor infiltration on MIEC cathode,Rakhi Saha; Preethi Sudarsan; Manju Kumari; Hee Jung Park; Abdelkrim Mekki; Khalil Harrabi; Somaditya Sen,2026-08-09T15:31:55Z,https://arxiv.org/abs/2608.08767v1
2608.09614v1,Battery-Simulation,Symmetry Breaking by Interfacial Dead Layers: Observation of Forbidden Self-Induced Spin-Orbit Torque in Symmetric Ferromagnets,Athira Ravindran K; Raghvendra Posti; Manish Kumar Mohanta; Abhishek Kumar; Damanpreet Kaur; Alberto Anadón; Sebastien Petit-Watelot; Juan-Carlos Rojas-Sánchez; Michel Hehn; Puru Jena; Debangsu Roy,2026-08-10T13:55:10Z,https://arxiv.org/abs/2608.09614v1
2608.08475v1,Battery-Simulation,Quantum-Device Simulation of Optical Decoherence of Hole-Spin Qubits in Self-Assembled Quantum Dots,Jyun-Jie Jiang; Pericles Philippopoulos; Félix Beaudoin; Hong Guo,2026-08-09T04:38:15Z,https://arxiv.org/abs/2608.08475v1
2608.09747v1,Battery-Simulation,Decoding Transient X-ray Absorption Spectra of Acetylacetone With Multireference Algebraic Diagrammatic Construction Theory,Bennett W. Clark; Donna H. Odhiambo; Haden Dickerson; Alexander Yu. Sokolov,2026-08-10T15:41:29Z,https://arxiv.org/abs/2608.09747v1
2608.09714v1,Battery-Simulation,Sampling Free Energy Landscapes of Ionic Colloidal Crystal Systems using Machine-Learned Proxy Collective Variables,Michael S. Chen; Stefano Sacanna; Glen M. Hocky,2026-08-10T15:18:11Z,https://arxiv.org/abs/2608.09714v1
2608.09422v1,Battery-Simulation,Nonadiabatic Forward-Flux Sampling of Rare Molecular Gas-Phase Ammonia Photodissociation,Madlen Maria Reiner; Johannes C. B. Dietschreit; Leticia González; Christoph Dellago,2026-08-10T10:49:30Z,https://arxiv.org/abs/2608.09422v1
2608.09775v1,Battery-Simulation,AirFlow: Context Preserving and Multi-Rate State Modeling for Air Quality Forecasting,Fan Yang; Nan Chen; Yijie Dong; Yuchen Zhang; Wei Zhang,2026-08-10T16:02:26Z,https://arxiv.org/abs/2608.09775v1
